"","betahat","sebetahat","NegativeProb","PositiveProb","dglm.p.value"
"(Intercept)",0.159172864128346,0.0982855553451632,0.000580782816529735,0.010445934024494,0.105358594339606
"env.var.2",-0.182736910486592,0.140906948074938,0.00892478639381977,0.000962412889766173,0.194695239384351
"env.var.3",-0.179292531652115,0.138545310211554,0.00874109523918609,0.000947701273803725,0.195644927872675
"env.var.4",-0.280601491626752,0.142399575420402,0.0287228345166158,0.000718042122965556,0.0487939264303695
"env.var.5",-0.314068678101248,0.137220551822091,0.0538355065282725,0.000601300984700681,0.0221032682600242
"env.var.6",-0.105891965358545,0.138036439563584,0.00438363539292908,0.00124725275919835,0.443014010798353
"loci.var.1",-0.0997976184096536,0.069869599652619,0.00543721186841717,0.000451020056924212,0.153211116216429
"loci.var.2",-0.0179877896599026,0.0701124505065979,0.00132868279314557,0.000881223832257194,0.797524267955689
"loci.var.3",0.960629601638034,0.0698466334004947,0,1,8.01145333565971e-43
"loci.var.4",4.05721119886609,0.101993652090053,0,1,0
"loci.var.5",-0.544574929351794,0.405285012969249,0.0251730382729258,0.002658288916633,0.179067628207063
"loci.var.6",-0.0375806766919695,0.0695524391051236,0.00173137895437747,0.000722694336323992,0.588982054085746
"loci.var.7",-0.0306455134787312,0.069166032450325,0.00156160694444685,0.000765180006923272,0.657719194975926
"loci.var.8",-0.0834311690124371,0.0691234509569561,0.0038627030617111,0.000495621729135198,0.227452712133089
"loci.var.1.env.var.2",0.193504899610951,0.0994302579481366,0.000511044761650981,0.0192822039495886,0.0516538773862758
"loci.var.2.env.var.2",0.0518081843800431,0.100531385887365,0.00106014102852137,0.00243686752181504,0.60631943700273
"loci.var.3.env.var.2",0.0199754608830075,0.0999133790666733,0.00130689958081953,0.00179908266768936,0.841539322656909
"loci.var.4.env.var.2",-0.203570641324635,0.142936086102872,0.0109838199334608,0.000918801587514118,0.154403811003696
"loci.var.5.env.var.2",0.932409514122166,0.581789420345394,0.00332258640701399,0.0439802386141479,0.109027762963459
"loci.var.6.env.var.2",-0.0903173147474332,0.0995732030556166,0.00373855925111033,0.000832877700873147,0.364395504916249
"loci.var.7.env.var.2",0.109010051278856,0.0988802514945937,0.000745822058529466,0.0047733034000057,0.270282986595312
"loci.var.8.env.var.2",0.21145106304171,0.0987033017650173,0.000467486864542122,0.0285958794037419,0.0321835954719212
"loci.var.1.env.var.3",0.262373001708648,0.0985545596952904,0.000366325952016577,0.0940119776071207,0.0077698462637798
"loci.var.2.env.var.3",0.0416782422582992,0.099465714475424,0.00111688960638401,0.00219142952943041,0.675205659507768
"loci.var.3.env.var.3",-0.0144485072043313,0.0992998087336845,0.00170598262935628,0.00135219177395418,0.88431468866515
"loci.var.4.env.var.3",-0.0934859504773734,0.143999981988816,0.00400978463442991,0.00139498037773889,0.516212204070335
"loci.var.5.env.var.3",-0.191662803820469,0.571948065394844,0.0107725524498127,0.00653884634989155,0.737549603653313
"loci.var.6.env.var.3",-0.0181594442712976,0.0984480844266525,0.00174904260667985,0.00130246888259056,0.85365699405466
"loci.var.7.env.var.3",2.50920721382487,0.0981745034730442,0,1,1.48602092148154e-141
"loci.var.8.env.var.3",0.00329573969850674,0.0978943089038281,0.00145244175407477,0.00153261056344212,0.973143622557211
"loci.var.1.env.var.4",0.0646437488878357,0.100571115359697,0.000979676546295605,0.00278559055565764,0.520383802510383
"loci.var.2.env.var.4",0.175552870597504,0.101596550936773,0.000572482449218481,0.0130582534409192,0.0840159618139706
"loci.var.3.env.var.4",0.0503345246871067,0.101125583762033,0.00107848602875238,0.00240800621478632,0.618671481296561
"loci.var.4.env.var.4",-0.0354975965267272,0.143563939192608,0.00269185531410643,0.00181223803189468,0.804709966079835
"loci.var.5.env.var.4",0.663909524100918,0.575584336774494,0.00410359696486262,0.0244982250080398,0.248739828587943
"loci.var.6.env.var.4",0.101262401659816,0.100510148602987,0.000796421662124791,0.00428114540265023,0.313715658625097
"loci.var.7.env.var.4",0.0153354898996283,0.0999411555195314,0.0013528555465957,0.00172865427273494,0.878048933238109
"loci.var.8.env.var.4",0.120659452442825,0.0999134010925093,0.000714770203296911,0.00557761872660478,0.227201555143304
"loci.var.1.env.var.5",0.155567091217876,0.0984354134962458,0.000591780547386955,0.00978889186842846,0.114033464455943
"loci.var.2.env.var.5",0.0646982282099122,0.0991365205257099,0.000960009967885034,0.00277541629851707,0.514011259935163
"loci.var.3.env.var.5",0.147256325769986,0.0988928856878111,0.000619365037017094,0.00845727371098093,0.13649210973449
"loci.var.4.env.var.5",-0.013974987285746,0.144394429840879,0.00237758634265284,0.00203719925669132,0.922899468836335
"loci.var.5.env.var.5",0.36219995502165,0.574332185477983,0.00545785153304101,0.0140780058527415,0.528280432712922
"loci.var.6.env.var.5",-0.0345662636260072,0.0984135306752646,0.00203255611339204,0.00115679818174208,0.72541627548559
"loci.var.7.env.var.5",0.0924061170051476,0.0980872003889112,0.000804992649137803,0.00384611397760171,0.346163700296086
"loci.var.8.env.var.5",0.150052293998034,0.0978343806834154,0.000600567419503317,0.00900127880895174,0.125111782817119
"loci.var.1.env.var.6",0.0449916305943824,0.0987639210284293,0.0010826310796439,0.00225513691472223,0.64872110921265
"loci.var.2.env.var.6",0.0871039344395422,0.0993853007752181,0.000845467318714155,0.00359503455964805,0.380809821903494
"loci.var.3.env.var.6",-0.0741999400029402,0.0989805322616399,0.00308614702650212,0.000904914271522173,0.453480321765573
"loci.var.4.env.var.6",-0.0743376440533559,0.14401303496268,0.0034885683987933,0.00151556001142306,0.605730229053799
"loci.var.5.env.var.6",0.890980689379785,0.568714514520609,0.00330835980471789,0.041352389093382,0.11721247125908
"loci.var.6.env.var.6",0.0887763781314386,0.0985533446505524,0.000827218345789249,0.00367223544463791,0.367709317189539
"loci.var.7.env.var.6",0.00412228424212003,0.0983287479448172,0.00144944943801639,0.00154974337277414,0.966560157250289
"loci.var.8.env.var.6",0.025918979337892,0.0979366632582351,0.00122280201140379,0.00186789637048512,0.791281812124267
