"","1","2","3","mean","std.error"
"beta0",38.9995140974252,38.9967080372336,39.0012312799371,38.9991511381986,0.00186435613350302
"beta1",1.00116384423556,1.00020458606914,1.00059991251734,1.00065611427401,0.000393626756842414
"beta2",1.99986469331871,2.00016953746089,1.99884478147699,1.99962633741886,0.000566483159776022
"beta3",-0.000995094333730899,-0.000818540085017423,-0.000935293112990644,-0.000916309177246322,7.3317315130663e-05
"beta4",0.00113842881157554,8.97293751966553e-05,-0.000517824559022813,0.00023677787591646,0.000684110738149683
"beta5",4.20915484867415e-05,-0.000156864301548548,-0.000941654973800184,-0.000352142575620663,0.000424687734907538
"gamma0",-5.18662194547692,-5.64002992570859,-5.57108512349389,-5.4659123315598,0.199483810966953
"gamma1",3.05770409917738,3.06791340269777,3.24503031427673,3.12354927205063,0.0860011247401167
"gamma2",4.01126716618372,3.99065113867314,4.01898318949565,4.00696716478417,0.0119594811754622
"gamma3",-0.056305237002691,0.0875947338363294,-0.10823202596109,-0.0256475097091504,0.0828329730855728
"gamma4",-0.133647838696732,0.384642054484804,0.00364886534019386,0.0848810270427554,0.219248871399125
"gamma5",-0.12539733183224,-0.0575285030166396,0.0658538874369978,-0.0390239824706272,0.0791667867162774
"gamma6",-0.00364833493129141,0.216772604692592,0.301170003999057,0.171431424586786,0.128505309610419
