"","1","2","mean","std.error"
"beta0",38.9995140974252,38.9967080372336,38.9981110673294,0.00140303009581189
"beta1",1.00116384423556,1.00020458606914,1.00068421515235,0.000479629083213085
"beta2",1.99986469331871,2.00016953746089,2.0000171153898,0.000152422071091451
"beta3",-0.000995094333730899,-0.000818540085017423,-0.000906817209374161,8.82771243567381e-05
"beta4",0.00113842881157554,8.97293751966553e-05,0.000614079093386096,0.000524349718189441
"beta5",4.20915484867415e-05,-0.000156864301548548,-5.73863765309031e-05,9.94779250176446e-05
"gamma0",-5.18662194547692,-5.64002992570859,-5.41332593559275,0.226703990115833
"gamma1",3.05770409917738,3.06791340269777,3.06280875093758,0.00510465176019737
"gamma2",4.01126716618372,3.99065113867314,4.00095915242843,0.0103080137552873
"gamma3",-0.056305237002691,0.0875947338363294,0.0156447484168192,0.0719499854195102
"gamma4",-0.133647838696732,0.384642054484804,0.125497107894036,0.259144946590768
"gamma5",-0.12539733183224,-0.0575285030166396,-0.0914629174244396,0.0339344144078
"gamma6",-0.00364833493129141,0.216772604692592,0.10656213488065,0.110210469811942
